name,address,city,state,zipCode,phoneNumber,email,totalBeds,availableBeds,description
Faith Shelter - Columbus Center South,9719 Cedar St,Columbus,OH,44004,979-510-5769,contact1427@shelter.org,32,13,Scraped-style dataset with room availability restored.
Transitional Housing Program - San Francisco Shelter West,5901 Maple St,San Francisco,CA,33070,827-251-4266,contact1428@shelter.org,25,7,Scraped-style dataset with room availability restored.
Open Door Mission - Los Angeles Center East,872 Elm St,Los Angeles,CA,59852,809-287-2352,contact1429@shelter.org,45,14,Scraped-style dataset with room availability restored.
Community Shelter - Philadelphia Center North,7592 3rd St,Philadelphia,PA,55038,257-298-3311,contact1430@shelter.org,100,26,Scraped-style dataset with room availability restored.
City Shelter - Detroit Program East,2821 3rd St,Detroit,MI,81151,696-861-2799,contact1431@shelter.org,18,5,Scraped-style dataset with room availability restored.
Transitional Housing Program - Baltimore Services East,2270 Broad St,Baltimore,MD,75332,985-925-4038,contact1432@shelter.org,80,14,Scraped-style dataset with room availability restored.
Union Gospel Mission - Chicago Shelter East,1083 Pine St,Chicago,IL,13037,691-606-8244,contact1433@shelter.org,99,29,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Houston Services,7094 Elm St,Houston,TX,23260,283-352-8406,contact1434@shelter.org,16,4,Scraped-style dataset with room availability restored.
Veterans Outreach - Columbus Center North,8616 Elm St,Columbus,OH,90110,395-787-5789,contact1435@shelter.org,15,6,Scraped-style dataset with room availability restored.
Community Shelter - Seattle Center West,9557 Maple St,Seattle,WA,91477,996-608-3602,contact1436@shelter.org,97,26,Scraped-style dataset with room availability restored.
City Shelter - San Diego Program East,4580 Broad St,San Diego,CA,40603,914-814-5697,contact1437@shelter.org,49,21,Scraped-style dataset with room availability restored.
Union Gospel Mission - Indianapolis Services West,3947 Broad St,Indianapolis,IN,13270,693-313-4987,contact1438@shelter.org,90,12,Scraped-style dataset with room availability restored.
Hope Center - Indianapolis Shelter West,4978 Cedar St,Indianapolis,IN,80846,967-990-2670,contact1439@shelter.org,51,10,Scraped-style dataset with room availability restored.
Veterans Outreach - Denver Center North,2851 Cedar St,Denver,CO,34067,908-914-4382,contact1440@shelter.org,70,6,Scraped-style dataset with room availability restored.
Emergency Housing Center - Columbus Shelter West,5164 Main St,Columbus,OH,32379,344-773-6338,contact1441@shelter.org,113,35,Scraped-style dataset with room availability restored.
Community Shelter - Baltimore Services West,2224 Pine St,Baltimore,MD,17947,379-629-3182,contact1442@shelter.org,63,7,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Baltimore Program East,1961 Oak St,Baltimore,MD,89546,403-558-1278,contact1443@shelter.org,97,9,Scraped-style dataset with room availability restored.
Rescue Mission - San Diego Shelter,3842 Elm St,San Diego,CA,59147,891-298-1199,contact1444@shelter.org,23,3,Scraped-style dataset with room availability restored.
Safe Haven - Boston Services South,2850 Main St,Boston,MA,33440,547-777-9730,contact1445@shelter.org,50,2,Scraped-style dataset with room availability restored.
Urban Shelter - Nashville Services South,7391 Maple St,Nashville,TN,14352,820-365-7258,contact1446@shelter.org,102,31,Scraped-style dataset with room availability restored.
Community Shelter - Seattle Program South,9874 Oak St,Seattle,WA,79629,571-555-5147,contact1447@shelter.org,41,7,Scraped-style dataset with room availability restored.
Emergency Housing Center - Charlotte Program North,6932 Oak St,Charlotte,NC,76325,334-263-3262,contact1448@shelter.org,69,23,Scraped-style dataset with room availability restored.
Safe Haven - Baltimore Shelter South,5981 Walnut St,Baltimore,MD,38731,966-690-1975,contact1449@shelter.org,93,16,Scraped-style dataset with room availability restored.
Community Shelter - New York Center,9230 Maple St,New York,NY,80667,924-415-9333,contact1450@shelter.org,41,14,Scraped-style dataset with room availability restored.
Faith Shelter - Baltimore Center South,4002 Walnut St,Baltimore,MD,58515,236-497-7569,contact1451@shelter.org,77,12,Scraped-style dataset with room availability restored.
Union Gospel Mission - Indianapolis Mission South,3942 Walnut St,Indianapolis,IN,43621,886-828-5389,contact1452@shelter.org,29,5,Scraped-style dataset with room availability restored.
City Shelter - Denver Program South,5108 2nd St,Denver,CO,75208,907-706-1212,contact1453@shelter.org,51,8,Scraped-style dataset with room availability restored.
Faith Shelter - Portland Shelter West,1177 Main St,Portland,OR,27996,687-636-4430,contact1454@shelter.org,71,24,Scraped-style dataset with room availability restored.
City Shelter - Seattle Shelter West,3796 Market St,Seattle,WA,93397,781-244-1641,contact1455@shelter.org,52,20,Scraped-style dataset with room availability restored.
Urban Shelter - Detroit Mission North,6291 2nd St,Detroit,MI,72931,609-692-9484,contact1456@shelter.org,54,13,Scraped-style dataset with room availability restored.
Emergency Housing Center - Houston Mission West,5196 Broad St,Houston,TX,22746,202-893-1418,contact1457@shelter.org,64,28,Scraped-style dataset with room availability restored.
City Shelter - San Antonio Services,5513 3rd St,San Antonio,TX,41011,489-673-1653,contact1458@shelter.org,21,1,Scraped-style dataset with room availability restored.
Open Door Mission - Chicago Services South,4350 Pine St,Chicago,IL,16723,632-881-3668,contact1459@shelter.org,113,34,Scraped-style dataset with room availability restored.
Salvation Army - Philadelphia Program South,1276 3rd St,Philadelphia,PA,89889,865-706-8504,contact1460@shelter.org,59,9,Scraped-style dataset with room availability restored.
Neighborhood Shelter - San Antonio Services West,5142 Pine St,San Antonio,TX,23314,958-646-7681,contact1461@shelter.org,66,6,Scraped-style dataset with room availability restored.
Rescue Mission - Baltimore Center North,9121 3rd St,Baltimore,MD,20373,573-622-4526,contact1462@shelter.org,25,0,Scraped-style dataset with room availability restored.
Transitional Housing Program - Los Angeles Services West,4119 Main St,Los Angeles,CA,46150,787-212-5355,contact1463@shelter.org,35,7,Scraped-style dataset with room availability restored.
Faith Shelter - Portland Services West,4689 Market St,Portland,OR,53739,664-407-3286,contact1464@shelter.org,51,11,Scraped-style dataset with room availability restored.
Rescue Mission - Detroit Services West,4922 Pine St,Detroit,MI,17260,962-935-1410,contact1465@shelter.org,92,30,Scraped-style dataset with room availability restored.
Community Shelter - Philadelphia Center,8300 Market St,Philadelphia,PA,54984,555-329-8133,contact1466@shelter.org,77,0,Scraped-style dataset with room availability restored.
Open Door Mission - Indianapolis Program,7734 Broad St,Indianapolis,IN,11693,707-459-6753,contact1467@shelter.org,91,13,Scraped-style dataset with room availability restored.
Salvation Army - Houston Mission West,4122 Oak St,Houston,TX,81351,316-901-9063,contact1468@shelter.org,30,8,Scraped-style dataset with room availability restored.
Transitional Housing Program - Columbus Program North,6248 Walnut St,Columbus,OH,37609,724-551-9346,contact1469@shelter.org,89,32,Scraped-style dataset with room availability restored.
Emergency Housing Center - Nashville Program,6597 Maple St,Nashville,TN,86070,938-551-1322,contact1470@shelter.org,36,4,Scraped-style dataset with room availability restored.
City Shelter - Columbus Shelter,6021 Oak St,Columbus,OH,79864,956-382-7019,contact1471@shelter.org,68,7,Scraped-style dataset with room availability restored.
Faith Shelter - San Jose Mission,7433 Main St,San Jose,CA,26346,288-658-3944,contact1472@shelter.org,73,31,Scraped-style dataset with room availability restored.
Urban Shelter - San Francisco Mission South,667 Broad St,San Francisco,CA,11717,313-528-6272,contact1473@shelter.org,33,12,Scraped-style dataset with room availability restored.
Rescue Mission - Philadelphia Mission East,6798 Broad St,Philadelphia,PA,96154,654-766-5916,contact1474@shelter.org,81,1,Scraped-style dataset with room availability restored.
Emergency Housing Center - Austin Mission South,2237 Broad St,Austin,TX,57832,546-738-2951,contact1475@shelter.org,91,29,Scraped-style dataset with room availability restored.
Urban Shelter - Dallas Services,8455 Pine St,Dallas,TX,60943,263-736-9668,contact1476@shelter.org,102,11,Scraped-style dataset with room availability restored.
City Shelter - San Diego Services West,2859 Maple St,San Diego,CA,73707,805-867-6257,contact1477@shelter.org,65,24,Scraped-style dataset with room availability restored.
Urban Shelter - Seattle Services West,6455 Walnut St,Seattle,WA,16585,591-338-2353,contact1478@shelter.org,116,18,Scraped-style dataset with room availability restored.
Rescue Mission - San Francisco Shelter North,9982 Elm St,San Francisco,CA,32000,272-604-3429,contact1479@shelter.org,30,13,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Dallas Mission North,9023 Maple St,Dallas,TX,58815,659-454-1642,contact1480@shelter.org,26,8,Scraped-style dataset with room availability restored.
Safe Haven - Columbus Mission South,1299 Elm St,Columbus,OH,40091,417-393-6281,contact1481@shelter.org,92,17,Scraped-style dataset with room availability restored.
Transitional Housing Program - Los Angeles Center,5790 Cedar St,Los Angeles,CA,91959,537-499-7884,contact1482@shelter.org,97,20,Scraped-style dataset with room availability restored.
Rescue Mission - San Francisco Shelter,109 Main St,San Francisco,CA,59898,946-266-4905,contact1483@shelter.org,35,13,Scraped-style dataset with room availability restored.
Transitional Housing Program - Phoenix Services East,8841 Walnut St,Phoenix,AZ,53708,462-793-8866,contact1484@shelter.org,93,2,Scraped-style dataset with room availability restored.
Union Gospel Mission - Phoenix Services North,4351 Maple St,Phoenix,AZ,91372,470-966-3428,contact1485@shelter.org,38,16,Scraped-style dataset with room availability restored.
Faith Shelter - New York Mission West,8139 Market St,New York,NY,59910,251-621-7612,contact1486@shelter.org,73,32,Scraped-style dataset with room availability restored.
Urban Shelter - Jacksonville Shelter North,238 Walnut St,Jacksonville,FL,68871,680-806-4750,contact1487@shelter.org,26,7,Scraped-style dataset with room availability restored.
Union Gospel Mission - Nashville Center West,9830 Market St,Nashville,TN,54510,906-979-4696,contact1488@shelter.org,76,14,Scraped-style dataset with room availability restored.
Faith Shelter - New York Program West,5602 Broad St,New York,NY,83023,770-883-2563,contact1489@shelter.org,37,8,Scraped-style dataset with room availability restored.
Urban Shelter - Portland Mission West,1769 Broad St,Portland,OR,52012,626-781-7772,contact1490@shelter.org,93,21,Scraped-style dataset with room availability restored.
Community Shelter - Boston Services South,5261 3rd St,Boston,MA,29819,653-250-1036,contact1491@shelter.org,44,0,Scraped-style dataset with room availability restored.
Urban Shelter - San Jose Shelter East,7436 Walnut St,San Jose,CA,75911,249-701-4375,contact1492@shelter.org,51,1,Scraped-style dataset with room availability restored.
Community Shelter - San Jose Center South,9818 Main St,San Jose,CA,82906,864-824-9504,contact1493@shelter.org,95,15,Scraped-style dataset with room availability restored.
Community Shelter - Jacksonville Services East,4760 Broad St,Jacksonville,FL,87211,840-501-8712,contact1494@shelter.org,92,6,Scraped-style dataset with room availability restored.
Transitional Housing Program - Detroit Center,8512 Market St,Detroit,MI,65358,386-731-1939,contact1495@shelter.org,93,39,Scraped-style dataset with room availability restored.
Community Shelter - Nashville Mission South,7292 Pine St,Nashville,TN,51611,714-440-4051,contact1496@shelter.org,45,17,Scraped-style dataset with room availability restored.
Hope Center - Jacksonville Services North,2445 2nd St,Jacksonville,FL,53251,296-905-3233,contact1497@shelter.org,120,34,Scraped-style dataset with room availability restored.
Union Gospel Mission - Chicago Shelter South,4324 Cedar St,Chicago,IL,87770,410-985-3521,contact1498@shelter.org,78,9,Scraped-style dataset with room availability restored.
Open Door Mission - Baltimore Program East,2409 Main St,Baltimore,MD,20000,443-398-8439,contact1499@shelter.org,22,7,Scraped-style dataset with room availability restored.
Union Gospel Mission - Philadelphia Center,4662 Main St,Philadelphia,PA,53419,772-719-1040,contact1500@shelter.org,82,26,Scraped-style dataset with room availability restored.
Urban Shelter - Washington Shelter East,3731 Main St,Washington,DC,51466,845-712-4070,contact1501@shelter.org,118,9,Scraped-style dataset with room availability restored.
Safe Haven - New York Center,1641 Broad St,New York,NY,21267,454-590-3184,contact1502@shelter.org,58,10,Scraped-style dataset with room availability restored.
Faith Shelter - Boston Shelter East,9073 Oak St,Boston,MA,84313,565-899-7320,contact1503@shelter.org,68,30,Scraped-style dataset with room availability restored.
Urban Shelter - Jacksonville Shelter,3633 Maple St,Jacksonville,FL,17314,597-285-5569,contact1504@shelter.org,112,25,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Portland Program South,7708 Market St,Portland,OR,53344,916-396-3883,contact1505@shelter.org,36,10,Scraped-style dataset with room availability restored.
Salvation Army - Charlotte Shelter West,310 Cedar St,Charlotte,NC,25379,839-636-8519,contact1506@shelter.org,32,14,Scraped-style dataset with room availability restored.
City Shelter - Indianapolis Mission North,7313 2nd St,Indianapolis,IN,23042,982-283-6351,contact1507@shelter.org,76,5,Scraped-style dataset with room availability restored.
Neighborhood Shelter - New York Center East,6727 Market St,New York,NY,18143,599-422-1851,contact1508@shelter.org,63,28,Scraped-style dataset with room availability restored.
Safe Haven - San Diego Services West,2293 Walnut St,San Diego,CA,34070,656-585-7628,contact1509@shelter.org,28,7,Scraped-style dataset with room availability restored.
Hope Center - Indianapolis Mission East,1378 Market St,Indianapolis,IN,32468,277-367-9691,contact1510@shelter.org,29,3,Scraped-style dataset with room availability restored.
Hope Center - Seattle Shelter,8558 Pine St,Seattle,WA,28750,564-864-1554,contact1511@shelter.org,80,23,Scraped-style dataset with room availability restored.
Family Shelter Network - Indianapolis Mission East,590 Cedar St,Indianapolis,IN,96354,922-726-8790,contact1512@shelter.org,70,17,Scraped-style dataset with room availability restored.
Hope Center - Nashville Mission South,2214 Market St,Nashville,TN,43626,472-502-5418,contact1513@shelter.org,43,2,Scraped-style dataset with room availability restored.
Family Shelter Network - Philadelphia Center West,5876 2nd St,Philadelphia,PA,43255,701-969-3528,contact1514@shelter.org,110,7,Scraped-style dataset with room availability restored.
Transitional Housing Program - Philadelphia Shelter,1956 3rd St,Philadelphia,PA,94791,530-716-3632,contact1515@shelter.org,27,0,Scraped-style dataset with room availability restored.
Veterans Outreach - Houston Mission,7031 2nd St,Houston,TX,47491,238-408-6010,contact1516@shelter.org,81,0,Scraped-style dataset with room availability restored.
Faith Shelter - Chicago Mission West,3149 3rd St,Chicago,IL,82832,330-772-4153,contact1517@shelter.org,106,10,Scraped-style dataset with room availability restored.
Emergency Housing Center - Dallas Mission,7049 Maple St,Dallas,TX,29068,647-910-9760,contact1518@shelter.org,66,9,Scraped-style dataset with room availability restored.
Veterans Outreach - Portland Services South,861 3rd St,Portland,OR,48545,595-353-5387,contact1519@shelter.org,47,21,Scraped-style dataset with room availability restored.
Salvation Army - San Antonio Program East,5449 Broad St,San Antonio,TX,59496,842-433-7410,contact1520@shelter.org,60,15,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Dallas Mission,9526 Market St,Dallas,TX,76270,915-886-7321,contact1521@shelter.org,42,18,Scraped-style dataset with room availability restored.
Urban Shelter - Baltimore Center East,211 Elm St,Baltimore,MD,27480,598-374-6081,contact1522@shelter.org,67,16,Scraped-style dataset with room availability restored.
Open Door Mission - Boston Services North,495 Walnut St,Boston,MA,63555,839-307-9840,contact1523@shelter.org,78,24,Scraped-style dataset with room availability restored.
Rescue Mission - Los Angeles Shelter East,2260 Pine St,Los Angeles,CA,41050,611-782-1474,contact1524@shelter.org,85,32,Scraped-style dataset with room availability restored.
City Shelter - Charlotte Shelter North,2061 2nd St,Charlotte,NC,94718,600-632-7582,contact1525@shelter.org,83,28,Scraped-style dataset with room availability restored.
Urban Shelter - San Diego Mission East,4061 Market St,San Diego,CA,25964,349-735-5722,contact1526@shelter.org,29,2,Scraped-style dataset with room availability restored.
Urban Shelter - Los Angeles Program East,8342 Elm St,Los Angeles,CA,79379,891-728-8165,contact1527@shelter.org,47,3,Scraped-style dataset with room availability restored.
Hope Center - Philadelphia Shelter,4990 Main St,Philadelphia,PA,70240,457-740-2183,contact1528@shelter.org,40,17,Scraped-style dataset with room availability restored.
Faith Shelter - San Antonio Services West,925 Broad St,San Antonio,TX,48077,745-391-5855,contact1529@shelter.org,37,0,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Chicago Program West,3305 Market St,Chicago,IL,61800,791-944-3707,contact1530@shelter.org,113,40,Scraped-style dataset with room availability restored.
Open Door Mission - Austin Shelter South,1630 Cedar St,Austin,TX,25921,823-731-7693,contact1531@shelter.org,37,6,Scraped-style dataset with room availability restored.
Faith Shelter - Washington Center South,2083 Cedar St,Washington,DC,53979,887-436-1120,contact1532@shelter.org,15,6,Scraped-style dataset with room availability restored.
Union Gospel Mission - Phoenix Mission East,7398 2nd St,Phoenix,AZ,75254,790-531-5094,contact1533@shelter.org,32,4,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Phoenix Services East,2496 Market St,Phoenix,AZ,14348,379-756-8820,contact1534@shelter.org,120,30,Scraped-style dataset with room availability restored.
Salvation Army - Denver Center West,4135 Walnut St,Denver,CO,42718,308-737-7818,contact1535@shelter.org,47,0,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Jacksonville Services West,4841 Broad St,Jacksonville,FL,98339,529-826-1644,contact1536@shelter.org,71,26,Scraped-style dataset with room availability restored.
Faith Shelter - San Jose Center South,9269 Main St,San Jose,CA,90823,220-415-2065,contact1537@shelter.org,116,43,Scraped-style dataset with room availability restored.
Transitional Housing Program - San Diego Services North,6389 Maple St,San Diego,CA,26541,485-501-2668,contact1538@shelter.org,35,9,Scraped-style dataset with room availability restored.
Emergency Housing Center - San Antonio Mission West,1106 Pine St,San Antonio,TX,24388,813-345-8564,contact1539@shelter.org,61,17,Scraped-style dataset with room availability restored.
Community Shelter - Portland Shelter East,6683 3rd St,Portland,OR,30337,734-641-5752,contact1540@shelter.org,99,29,Scraped-style dataset with room availability restored.
Union Gospel Mission - New York Center,5810 Market St,New York,NY,32691,742-782-6447,contact1541@shelter.org,55,24,Scraped-style dataset with room availability restored.
Emergency Housing Center - San Francisco Mission West,3948 Market St,San Francisco,CA,23591,533-235-7205,contact1542@shelter.org,18,5,Scraped-style dataset with room availability restored.
Salvation Army - Los Angeles Shelter,2760 Maple St,Los Angeles,CA,83090,370-327-1740,contact1543@shelter.org,104,7,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Jose Center North,8573 Walnut St,San Jose,CA,91879,309-788-2541,contact1544@shelter.org,39,0,Scraped-style dataset with room availability restored.
Safe Haven - Seattle Program West,8599 Main St,Seattle,WA,54640,311-918-7534,contact1545@shelter.org,118,1,Scraped-style dataset with room availability restored.
Family Shelter Network - Boston Shelter South,2516 Main St,Boston,MA,18973,797-631-4113,contact1546@shelter.org,64,17,Scraped-style dataset with room availability restored.
Safe Haven - Indianapolis Mission West,4278 2nd St,Indianapolis,IN,18037,772-678-1346,contact1547@shelter.org,115,39,Scraped-style dataset with room availability restored.
Hope Center - Baltimore Services,2854 Walnut St,Baltimore,MD,17282,893-810-6920,contact1548@shelter.org,25,5,Scraped-style dataset with room availability restored.
Family Shelter Network - New York Mission North,5881 Walnut St,New York,NY,15783,490-453-1517,contact1549@shelter.org,42,4,Scraped-style dataset with room availability restored.
Salvation Army - Indianapolis Mission North,6740 2nd St,Indianapolis,IN,65120,710-445-1211,contact1550@shelter.org,22,2,Scraped-style dataset with room availability restored.
Emergency Housing Center - Jacksonville Services,6331 Main St,Jacksonville,FL,32517,227-819-7287,contact1551@shelter.org,27,3,Scraped-style dataset with room availability restored.
Veterans Outreach - San Antonio Services,6853 Market St,San Antonio,TX,41291,582-743-4657,contact1552@shelter.org,19,8,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Francisco Program,2374 Pine St,San Francisco,CA,80381,810-685-7990,contact1553@shelter.org,21,8,Scraped-style dataset with room availability restored.
Community Shelter - Baltimore Shelter East,384 Main St,Baltimore,MD,99674,589-592-4847,contact1554@shelter.org,35,3,Scraped-style dataset with room availability restored.
Safe Haven - San Jose Center,9680 Oak St,San Jose,CA,12449,343-732-3013,contact1555@shelter.org,37,6,Scraped-style dataset with room availability restored.
Rescue Mission - San Antonio Services,5004 3rd St,San Antonio,TX,38167,917-329-6631,contact1556@shelter.org,39,9,Scraped-style dataset with room availability restored.
Emergency Housing Center - Charlotte Mission North,4074 Pine St,Charlotte,NC,48575,835-420-4332,contact1557@shelter.org,102,5,Scraped-style dataset with room availability restored.
Transitional Housing Program - Denver Center North,8426 Elm St,Denver,CO,11837,746-454-3737,contact1558@shelter.org,34,13,Scraped-style dataset with room availability restored.
Open Door Mission - Los Angeles Mission East,7461 Broad St,Los Angeles,CA,47426,688-876-7549,contact1559@shelter.org,29,6,Scraped-style dataset with room availability restored.
Family Shelter Network - Detroit Services East,591 Cedar St,Detroit,MI,61854,281-846-8714,contact1560@shelter.org,67,8,Scraped-style dataset with room availability restored.
Family Shelter Network - Philadelphia Mission West,76 Broad St,Philadelphia,PA,77356,235-745-7804,contact1561@shelter.org,84,28,Scraped-style dataset with room availability restored.
Safe Haven - Philadelphia Shelter South,6397 Maple St,Philadelphia,PA,36622,452-951-7163,contact1562@shelter.org,93,16,Scraped-style dataset with room availability restored.
Hope Center - Nashville Center West,9189 Main St,Nashville,TN,98076,312-894-3700,contact1563@shelter.org,27,10,Scraped-style dataset with room availability restored.
Faith Shelter - New York Mission East,3934 Broad St,New York,NY,98533,557-598-5357,contact1564@shelter.org,27,8,Scraped-style dataset with room availability restored.
Open Door Mission - Los Angeles Program South,2672 Pine St,Los Angeles,CA,11841,741-371-4173,contact1565@shelter.org,65,12,Scraped-style dataset with room availability restored.
Faith Shelter - Denver Program East,9884 Pine St,Denver,CO,30088,594-935-8978,contact1566@shelter.org,74,9,Scraped-style dataset with room availability restored.
Faith Shelter - Washington Mission North,5460 Oak St,Washington,DC,46947,557-447-2634,contact1567@shelter.org,63,24,Scraped-style dataset with room availability restored.
Open Door Mission - San Antonio Services,6598 2nd St,San Antonio,TX,33982,662-477-1717,contact1568@shelter.org,104,40,Scraped-style dataset with room availability restored.
Union Gospel Mission - Denver Center,5340 Maple St,Denver,CO,32802,930-240-9291,contact1569@shelter.org,16,3,Scraped-style dataset with room availability restored.
Transitional Housing Program - Dallas Center North,7972 Market St,Dallas,TX,31561,693-942-2656,contact1570@shelter.org,79,2,Scraped-style dataset with room availability restored.
Urban Shelter - Austin Mission North,9880 Maple St,Austin,TX,84326,947-898-4405,contact1571@shelter.org,28,8,Scraped-style dataset with room availability restored.
Community Shelter - Philadelphia Center East,8837 2nd St,Philadelphia,PA,11486,226-589-6957,contact1572@shelter.org,19,1,Scraped-style dataset with room availability restored.
Union Gospel Mission - Los Angeles Mission South,6720 Main St,Los Angeles,CA,48377,414-340-1997,contact1573@shelter.org,74,18,Scraped-style dataset with room availability restored.
Urban Shelter - Indianapolis Center West,256 Oak St,Indianapolis,IN,69017,272-434-5070,contact1574@shelter.org,99,27,Scraped-style dataset with room availability restored.
City Shelter - New York Shelter North,1658 Broad St,New York,NY,18571,777-424-5759,contact1575@shelter.org,107,23,Scraped-style dataset with room availability restored.
Union Gospel Mission - Jacksonville Mission East,5806 Walnut St,Jacksonville,FL,47744,587-734-4529,contact1576@shelter.org,90,12,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Washington Shelter,7361 Pine St,Washington,DC,75163,805-262-1495,contact1577@shelter.org,70,21,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Nashville Program West,3365 Walnut St,Nashville,TN,21639,510-801-8717,contact1578@shelter.org,117,49,Scraped-style dataset with room availability restored.
Faith Shelter - Dallas Shelter South,3280 2nd St,Dallas,TX,96774,674-344-2548,contact1579@shelter.org,56,20,Scraped-style dataset with room availability restored.
Urban Shelter - Washington Center North,5087 3rd St,Washington,DC,12002,424-755-5126,contact1580@shelter.org,38,0,Scraped-style dataset with room availability restored.
Emergency Housing Center - Nashville Program North,8223 3rd St,Nashville,TN,86459,894-354-5838,contact1581@shelter.org,52,2,Scraped-style dataset with room availability restored.
Hope Center - Denver Services South,2144 Broad St,Denver,CO,71089,251-563-3516,contact1582@shelter.org,84,32,Scraped-style dataset with room availability restored.
City Shelter - Dallas Services West,6356 Broad St,Dallas,TX,51094,214-455-2197,contact1583@shelter.org,21,5,Scraped-style dataset with room availability restored.
Urban Shelter - Philadelphia Mission East,7808 Walnut St,Philadelphia,PA,31206,810-414-3853,contact1584@shelter.org,59,6,Scraped-style dataset with room availability restored.
Union Gospel Mission - Indianapolis Shelter East,7405 Walnut St,Indianapolis,IN,46468,999-785-4084,contact1585@shelter.org,23,6,Scraped-style dataset with room availability restored.
Emergency Housing Center - Phoenix Mission South,8010 2nd St,Phoenix,AZ,98333,945-762-7738,contact1586@shelter.org,108,40,Scraped-style dataset with room availability restored.
Family Shelter Network - Denver Mission,2969 3rd St,Denver,CO,38665,346-509-8610,contact1587@shelter.org,36,9,Scraped-style dataset with room availability restored.
Family Shelter Network - Philadelphia Shelter West,8914 Elm St,Philadelphia,PA,30884,800-505-7547,contact1588@shelter.org,21,5,Scraped-style dataset with room availability restored.
Open Door Mission - Washington Shelter,2692 Cedar St,Washington,DC,87060,580-247-1617,contact1589@shelter.org,108,5,Scraped-style dataset with room availability restored.
Emergency Housing Center - Seattle Center South,2102 Main St,Seattle,WA,35381,567-275-1045,contact1590@shelter.org,96,42,Scraped-style dataset with room availability restored.
Emergency Housing Center - Portland Services South,6361 Broad St,Portland,OR,51639,537-624-7461,contact1591@shelter.org,98,3,Scraped-style dataset with room availability restored.
City Shelter - San Francisco Program East,3480 Walnut St,San Francisco,CA,25911,412-320-2635,contact1592@shelter.org,113,4,Scraped-style dataset with room availability restored.
City Shelter - Phoenix Shelter South,8519 Oak St,Phoenix,AZ,58671,290-766-2153,contact1593@shelter.org,103,1,Scraped-style dataset with room availability restored.
Rescue Mission - Phoenix Center West,3733 Main St,Phoenix,AZ,53698,392-944-4343,contact1594@shelter.org,32,1,Scraped-style dataset with room availability restored.
Union Gospel Mission - San Francisco Mission,7729 Walnut St,San Francisco,CA,31163,459-871-7314,contact1595@shelter.org,28,0,Scraped-style dataset with room availability restored.
Salvation Army - Chicago Center,2697 Broad St,Chicago,IL,25175,332-614-6074,contact1596@shelter.org,102,17,Scraped-style dataset with room availability restored.
Emergency Housing Center - New York Center South,8223 Walnut St,New York,NY,13949,249-914-9357,contact1597@shelter.org,53,7,Scraped-style dataset with room availability restored.
Open Door Mission - Charlotte Mission North,7704 Elm St,Charlotte,NC,84116,802-530-7228,contact1598@shelter.org,84,10,Scraped-style dataset with room availability restored.
Transitional Housing Program - San Francisco Shelter South,791 Market St,San Francisco,CA,12667,896-310-9982,contact1599@shelter.org,92,2,Scraped-style dataset with room availability restored.
Hope Center - Indianapolis Shelter,9791 Pine St,Indianapolis,IN,56863,999-770-1598,contact1600@shelter.org,111,16,Scraped-style dataset with room availability restored.
Urban Shelter - Nashville Program South,1755 Oak St,Nashville,TN,23720,701-937-8570,contact1601@shelter.org,84,28,Scraped-style dataset with room availability restored.
Emergency Housing Center - Portland Mission,9094 Oak St,Portland,OR,89622,753-794-3124,contact1602@shelter.org,118,24,Scraped-style dataset with room availability restored.
Open Door Mission - Dallas Shelter East,4744 2nd St,Dallas,TX,89724,918-332-4752,contact1603@shelter.org,74,2,Scraped-style dataset with room availability restored.
Veterans Outreach - Portland Shelter North,4599 Elm St,Portland,OR,98366,738-777-3756,contact1604@shelter.org,42,10,Scraped-style dataset with room availability restored.
Family Shelter Network - Detroit Program East,185 Walnut St,Detroit,MI,57883,870-242-1686,contact1605@shelter.org,35,8,Scraped-style dataset with room availability restored.
Transitional Housing Program - Boston Shelter North,7684 Elm St,Boston,MA,72836,551-944-9721,contact1606@shelter.org,44,7,Scraped-style dataset with room availability restored.
City Shelter - Houston Services North,7900 Cedar St,Houston,TX,62457,793-662-1464,contact1607@shelter.org,39,2,Scraped-style dataset with room availability restored.
Faith Shelter - Dallas Mission South,4592 2nd St,Dallas,TX,26938,681-451-1747,contact1608@shelter.org,73,19,Scraped-style dataset with room availability restored.
Salvation Army - Denver Center North,2528 Elm St,Denver,CO,15713,320-550-1134,contact1609@shelter.org,18,5,Scraped-style dataset with room availability restored.
Salvation Army - Austin Services East,7160 Market St,Austin,TX,49535,685-989-3651,contact1610@shelter.org,69,8,Scraped-style dataset with room availability restored.
Salvation Army - San Diego Mission South,1551 Elm St,San Diego,CA,93353,274-482-5723,contact1611@shelter.org,119,0,Scraped-style dataset with room availability restored.
